location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Belize;0.2440378949529294;0.18790453462802653;0.30924097713604776;0.06160532726217543;0.0018259358711104092;0.09266409266409267;0.2990936555891239;0
Benin;0.004254743808182528;0.0016100668037987004;0.06542422925603371;0.01206628873295884;0.012273574474806509;0.03088803088803089;0.11178247734138974;0
Bhutan;0.04947940234572782;0.0008884516676536268;0.5897562332937937;0.0692100992858615;0.0024274206286526616;0.12355212355212354;0.4078549848942598;0
Bolivia;0.17286042663413717;0.2558341193513479;0.3366708274199354;0.053533642326648805;0.0010386984678565788;0.07722007722007723;0.3111782477341389;0
Bosnia and Herzegovina;0.2015218933687087;0.47441775448835766;0.09992083670623375;0.09505672617763712;0.008405623124308956;0.2625482625482626;0.8277945619335345;2
Botswana;0.2507567373940937;0.13453330342445255;0.24005157534576746;0.13026199413181036;0.0002603064286842521;0.13127413127413126;0.3232628398791541;0
Brazil;0.36464814753824365;0.4443795838741873;0.6336155141786958;0.11560768857381803;0.0029139156531353657;0.16216216216216217;0.5558912386706947;2
Brunei;0.18556765180721804;0.01305152006754622;0.475460196989444;0.611897670303238;0.010029379244984994;0.20077220077220076;0.5226586102719031;2
Bulgaria;0.40386193385171704;0.693845106737894;0.23349137013970026;0.15396403815940166;0.007986100142157638;0.5675675675675675;0.8942598187311177;2
Burkina Faso;0.001602038383269058;0.0018498912102994699;0.030368776467486442;0.008960358930378116;0.008614120991944401;0.02316602316602317;0.0755287009063445;0
Burundi;0.008619961119802656;0.0;0.0;0.00035244227532192033;0.05320865582056548;0.05405405405405406;0.07250755287009064;0
Cambodia;0.014417384326798658;0.016888924454525573;0.5771493530140767;0.02566197741273313;0.011207076291265205;0.05405405405405406;0.3172205438066465;0
Cameroon;0.011027374259816017;0.009669377578034818;0.02172067115788436;0.023252675826381675;0.006179118622650451;0.09266409266409267;0.11178247734138974;0
Canada;0.24026126322359995;0.15420897343222315;0.840255551238685;0.37287971311990026;0.0002603064286842521;0.18532818532818532;0.7945619335347429;1
Cape Verde;0.2744755630418136;0.11028870180484357;0.3932769010666724;0.04782920327404942;0.016882009161269945;0.15444015444015444;0.32024169184290013;0
Central African Republic;0.007718867673528237;0.0033346029611865716;0.09894676407254997;0.0;0.0006949928921181488;0.0694980694980695;0.09667673716012087;0
Chile;0.4363931502721036;0.3685782609266325;1.0;0.19011758052248154;0.00281788027167904;0.15521235521235519;0.6132930513595165;1
China;0.00975965591139696;0.0014468974722770494;0.8712169667976475;0.12597334442434258;0.018409729900489655;0.3274131274131274;0.7129909365558911;2
Colombia;0.2802333046775945;0.3579769853966358;0.38516133186416557;0.10831029300010771;0.0053375454114673836;0.12432432432432432;0.5166163141993958;2
Comoros;0.018812341523046516;0.029698447372539634;0.21261858477815004;0.006473052184505684;0.05501437371663246;0.16216216216216217;0.1601208459214501;0
Costa Rica;0.37177715058866556;0.19550807167714832;0.5643734023184216;0.12783351376864172;0.011890696572421419;0.07953667953667953;0.5589123867069485;2
Croatia;0.6662810057889061;0.5338221427891069;0.4883228440208689;0.18928128264907246;0.009066498183541305;0.4200772200772201;0.8731117824773411;1
Cyprus;0.2864766017768522;0.05995041087717932;0.5317681514268366;0.27309451542025265;0.01588121939661981;0.2548262548262548;0.6706948640483381;2
Czechia;0.9469076557306497;0.5483253157414043;0.629411098588014;0.2747352898781813;0.017084188911704313;0.5042471042471043;0.8519637462235645;1
Denmark;0.9999999999999999;0.13451780716800438;0.8158216579453522;0.3957990394442937;0.017000789764650137;0.18532818532818532;0.8217522658610268;1
Djibouti;0.04040249033247452;0.0261246266795852;0.08824575118087771;0.017580574083572685;0.004966040120044228;0.10038610038610038;0.3111782477341389;0
Dominican Republic;0.13647219245395373;0.0608822577448567;0.5504297446112937;0.11988558784585016;0.027912178170905074;0.11583011583011583;0.3776435045317221;0
Ecuador;0.10950722054664133;0.27257398825327717;0.5654033418002218;0.0853214758610583;0.008208497867635445;0.1081081081081081;0.39274924471299094;2
Egypt;0.009842798392458524;0.029162322996773512;0.19275940195015426;0.08504858680796008;0.012133312272942664;0.11583011583011585;0.30815709969788513;0
El Salvador;0.0499876841087586;0.078331256366601;0.44207408114305097;0.057030801975603236;0.03864539567208972;0.09266409266409267;0.3776435045317221;0
Equatorial Guinea;0.018600540359089267;0.01274299142590917;0.10153610561139001;0.18872286203080374;0.00546011688516822;0.15444015444015444;0.22054380664652568;0
Estonia;0.8977433073158546;0.242198017898815;0.5738668444861967;0.24786212540752758;0.0036708260938240404;0.3544401544401545;0.8338368580060422;1
Eswatini;0.12751738718358888;0.15337702966730277;0.14413882298488653;0.060871029520179705;0.009794345285105038;0.15444015444015444;0.1933534743202417;0
Ethiopia;0.00782909813902632;0.0070596800869869355;0.026225628958359185;0.00919110627656863;0.013012794187332175;0.015444015444015443;0.1419939577039276;0
Fiji;0.19130419777472177;0.12549573841430403;0.6522821854398725;0.06916176532814286;0.006012320328542095;0.16988416988416985;0.4078549848942598;2
Finland;0.38845257608856976;0.10334595293346573;0.8513021606104161;0.34336443563310093;0.0020420154793871427;0.24555984555984553;0.8368580060422957;1
France;0.9708167676796731;0.3391489423035112;0.7641109769771947;0.3263353158856347;0.015239298688990682;0.4540540540540541;0.8126888217522656;1
Gabon;0.0408081218936476;0.013734921743775686;0.04158714643316939;0.13675560114886898;0.0007430105828463119;0.47876447876447875;0.24169184290030216;0
Gambia;0.009053074929864515;0.015998076863826132;0.038135631729104155;0.007744871698283269;0.0259788343073764;0.07722007722007723;0.07250755287009064;0
Georgia;0.7304559956840753;0.4568859719764254;0.2185292100999857;0.07812418834212463;0.007967145790554415;0.19305019305019305;0.7129909365558911;2
Germany;0.6219897336790312;0.23605647967238969;0.7493818762569628;0.3833003251963718;0.02970020533880904;0.61003861003861;0.9516616314199393;1
Ghana;0.011484098057563234;0.005284368598643983;0.11507465941074764;0.030672196346640836;0.015762438793239616;0.06177606177606178;0.1812688821752267;0
Greece;0.8207894909254015;0.38054993861183556;0.7420228746266774;0.20566133410667675;0.010298531037750752;0.3173745173745174;0.9123867069486402;1
Grenada;0.23090233243690228;0.1861571394596451;0.2375553479225661;0.11122520906586802;0.03982309271836993;0.277992277992278;0.43202416918428993;2
Guatemala;0.09695580933341541;0.12195223339358179;0.21450145740928914;0.058160457731179956;0.01969357131574791;0.03861003861003861;0.23564954682779454;0
Guinea;0.005856097807774523;0.0034776586846714873;0.08688664114740166;0.011504599982317686;0.006290317485389355;0.015444015444015443;0.11782477341389735;0
Guyana;0.14268297232299895;0.16490648455608883;0.34808960952432244;0.058257125646617204;0.00024893381772231874;0.11583011583011583;0.3383685800604231;0
Haiti;0.0062701563887796385;0.009883293782482703;0.006576643115544722;0.008530943537337039;0.05009887853419682;0.04633204633204633;0.2779456193353474;0
Honduras;0.1091566111394304;0.14593614371224137;0.3899438797933768;0.03337416778729206;0.010212604643816143;0.04633204633204633;0.29607250755287;0
Hungary;0.2586523039478082;0.41611886132105097;0.28176020144616143;0.2246094495811459;0.01340199020691834;0.5343629343629344;0.8549848942598184;2
Iceland;0.15037617376478404;0.01428170243044312;0.4885140543462108;0.3940827539278651;0.00017943452851050388;0.21698841698841698;0.6706948640483381;2
India;0.08181030165634863;0.05234011716128267;0.5021414281044415;0.04958470637894717;0.056665929552993224;0.03320463320463321;0.3957703927492446;0
Indonesia;0.040445139450513534;0.0616859156578544;0.28906101439057996;0.09054016723893386;0.018163323329647766;0.07258687258687259;0.4290030211480362;0
Iran;0.22599023280562278;0.2383988918201848;0.6549269718855906;0.1584302850602661;0.006046438161427895;0.1081081081081081;0.5226586102719031;2
Iraq;0.13961066551323492;0.08240196463184427;0.11957675713134429;0.12902887618560105;0.010884852314010426;0.10038610038610038;0.1480362537764351;0
Ireland;0.7694049409582394;0.23334278217274143;0.9457856351262055;0.5734200558059405;0.008578739535618387;0.22084942084942083;0.7129909365558911;1
Israel;0.9320679962014727;0.16231250527996527;0.7733779383576017;0.27926259925232017;0.05062454588532618;0.22316602316602316;0.4682779456193353;1
Italy;0.7244665043858777;0.4167611386552784;0.8410822496433812;0.2972180625204044;0.025762754699099673;0.23783783783783782;0.9909365558912384;1
Jamaica;0.12868030172098927;0.15216115248704096;0.20690551601703205;0.06478066187592864;0.033473384931290484;0.12355212355212354;0.4924471299093654;0
Japan;0.25195713977545714;0.038884278407789054;0.8700040389197958;0.3297457840232361;0.04369609856262834;1.0;0.9999999999999998;1
Jordan;0.25729022285122966;0.15987516969416535;0.2853657903521644;0.06601842401024613;0.013558679513504977;0.10038610038610038;0.2447129909365559;0
Kazakhstan;0.1353496747155189;0.11074170136685323;0.30428066134176324;0.20119955938695347;0.0005939030169009635;0.5096525096525096;0.4682779456193353;2
Kenya;0.014097872188876115;0.014329693682121076;0.06763224934016823;0.020054206275570995;0.010783762438793238;0.10038610038610038;0.1480362537764351;0
Kiribati;0.03601734571438448;0.006719214342217286;0.36596077054704124;0.011351513781714218;0.017908071394724372;0.13899613899613897;0.2447129909365559;0
Kuwait;0.4106381056830317;0.08857515828539962;0.8450907797566207;0.557898577123968;0.02908229347654399;0.1467181467181467;0.5619335347432024;1
